Description;IAPS;ValenceMean;ValenceSD;ArousalMean;ArousalSD;set
Family;2332;7.64;1.6;4.3;2.29;15
Father;2339;6.72;1.34;4.16;1.9;15
Family;2340;8.03;1.26;4.9;2.2;3
Children;2341;7.38;1.59;4.11;2.31;9
Children;2342;6.2;1.55;4.06;2.02;17
Children;2344;6.72;1.89;4.71;2.04;12
Children;2345;7.41;1.72;5.42;2.47;12
BlackEye;2345.1;2.26;1.46;5.5;2.34;17
Kids;2346;7.05;1.53;5.28;2.28;14
Children;2347;7.83;1.36;5.56;2.34;20
NursingBaby;2351;5.49;2.04;4.74;2.05;8
Kiss;2352;6.94;1.87;4.99;1.98;8
Kiss;2352.1;7.27;1.79;5.16;2.17;11
BloodyKiss;2352.2;2.09;1.5;6.25;2.1;12
Man;2357;5.41;1.36;3.33;2.07;14
Family;2358;6.56;1.7;3.73;2.04;15
Mother/Child;2359;5.87;1.41;3.94;1.73;17
Family;2360;7.7;1.76;3.66;2.32;4
Girl&Dog;2362;6.74;1.34;4.6;2.09;15
ThreeMen;2370;7.14;1.46;2.9;2.14;4
Woman;2372;5.48;1.63;4.09;1.99;11
Band;2373;6.97;1.32;4.5;2.08;16
Woman;2374;6.29;1.27;3.86;2.18;17
Woman;2375.1;2.2;1.31;4.88;2.21;14
AttractiveFem;2375.2;6.34;1.54;4.3;2.29;13
Reading;2377;5.19;1.31;3.5;1.95;19
Girl;2381;5.25;1.22;3.04;1.97;9
Artist;2382;5.67;1.19;3.75;1.97;19
Secretary;2383;4.72;1.36;3.41;1.83;12
Fisherman;2384;5.92;1.47;3.41;2.04;20
Girl;2385;5.2;1.32;3.64;1.81;11
Kids;2387;7.12;1.58;3.97;2.18;13
Kids;2388;7.44;1.44;3.77;2.21;13
Teens;2389;6.61;1.69;5.63;2;12
Couple;2390;5.4;1.18;3.57;1.92;19
Boy;2391;7.11;1.77;4.63;2.43;6
ManW/Fish;2392;6.15;1.49;3.85;1.97;19
Factoryworker;2393;4.87;1.06;2.93;1.88;13
Medicalworker;2394;5.76;1.74;3.89;2.26;13
Family;2395;7.49;1.69;4.19;2.4;13
Couple;2396;4.91;1.05;3.34;1.83;16
Men;2397;4.98;1.11;2.77;1.74;15
Boat;2398;7.48;1.32;4.74;2.11;16
Woman;2399;3.69;1.4;3.93;2.01;14
Woman;2400;4.21;1.34;4.2;2.1;20
Boy;2410;4.62;1.72;4.13;2.29;5
Girl;2411;5.07;0.85;2.86;1.84;18
Mom/Son;2435;5.84;1.27;3.94;1.93;14
NeutGirl;2440;4.49;1.03;2.63;1.7;10
NeutralGirl;2441;4.64;1.28;3.62;1.96;13
DryingHair;2442;6.17;1.4;4.04;1.89;14
Feet;2445;5.39;1.39;3.83;1.91;16
Boots;2446;4.7;1.04;3.79;1.88;15
SadGirls;2455;2.96;1.79;4.46;2.12;13
CryingFamily;2456;2.84;1.27;4.55;2.16;18
CryingBoy;2457;3.2;1.51;4.94;2.01;19
CryingBaby;2458;4.69;1.88;5.28;1.88;20
ElderlyMan;2480;4.77;1.64;2.66;1.78;9
Amerindian;2484;5;1.35;3.75;1.9;18
Man;2485;5.69;1.36;3.74;1.84;11
Musician;2487;5.2;1.8;4.05;1.92;12
Musician;2488;5.73;1.14;3.91;1.87;17
Musician;2489;5.66;1.44;3.8;1.93;19
Man;2490;3.32;1.82;3.95;2;5
SickMan;2491;4.14;1.29;3.41;1.73;13
NeutralMale;2493;4.82;1.27;3.34;2.1;13
Man;2495;5.22;1.1;3.19;1.76;11
NeutralMale;2499;5.34;1.43;3.08;1.73;13
Man;2500;6.16;1.54;3.61;1.91;2
Couple;2501;6.89;1.78;3.09;2.21;6
Woman;2506;5.67;1.23;3.5;1.94;15
ElderlyWoman;2510;6.91;1.91;4;2.1;2
Woman;2511;6.21;1.62;3.41;1.96;19
Man;2512;4.86;0.84;3.46;1.75;16
Woman;2513;5.8;1.29;3.29;1.67;15
Woman;2514;5.19;1.09;3.5;1.81;11
Harvest;2515;6.09;1.54;3.8;2.12;11
ElderlyWoman;2516;4.9;1.43;3.5;1.88;12
Quilting;2518;5.67;1.66;3.31;1.88;11
ElderlyMan;2520;4.13;1.9;4.22;1.69;3
ManW/Dog;2521;5.78;1.52;4.1;1.85;20
Women;2525;4.06;1.93;3.93;2.16;19
Couple;2530;7.8;1.55;3.99;2.11;3
Mother;2540;7.63;1.51;3.97;2.33;3
Couple;2550;7.77;1.43;4.68;2.43;5
Picnic;2560;6.34;1.53;3.49;2.07;10
Man;2570;4.78;1.24;2.76;1.92;10
Propeller;2575;5.46;1.15;4.16;2.1;11
Bakers;2579;5.53;1.35;3.85;2;14
Chess;2580;5.71;1.41;2.79;1.78;9
ElderlyWoman;2590;3.26;1.92;3.93;1.94;5
Men;2593;5.8;1.34;3.42;1.84;16
City;2594;6.05;1.31;3.84;1.98;15
Women;2595;4.88;1.24;3.71;1.88;14
Market;2597;5.61;1.26;4.09;2.1;16
Family;2598;7.19;1.3;3.73;1.84;15
Beer;2600;5.84;1.85;4.16;1.74;3
Dance;2605;6.26;1.45;5.03;2.16;16
Dance;2606;5.92;1.58;4.78;2.21;15
Dancer;2616;5.97;1.77;4.96;2.05;12
Woman;2620;5.93;1.63;2.72;2.16;4
Male;2630;6.35;1.92;3.92;2.53;4
Cowboy;2635;5.22;1.65;4.42;1.98;14
Boy;2650;7.27;1.67;4.28;2.41;6
Child;2655;6.88;2.09;4.57;2.19;12
Baby;2660;7.75;1.48;4.44;2.41;5
Baby;2661;3.9;2.49;5.76;2.13;7
Police;2681;4.04;1.6;4.97;2.26;10
Police;2682;3.69;1.65;4.48;2.1;9
War;2683;2.62;1.78;6.21;2.15;13
Hunters;2688;2.73;2.07;5.98;2.22;14
Terrorist;2690;4.78;1.43;4.02;2.07;4
Riot;2691;3.04;1.73;5.85;2.03;7
Bomb;2692;3.36;1.61;5.35;2.19;10
Police;2694;3.55;1.72;5.05;2.16;13
Refugees;2695;4.01;1.58;4.47;1.92;13
Woman;2700;3.19;1.56;4.77;1.97;4
BingeEating;2702;5.21;1.61;3.92;2.34;9
SadChildren;2703;1.91;1.26;5.78;2.25;16
Soldiers;2704;4.85;1.89;5.3;2.16;15
DrugAddict;2710;2.52;1.69;5.46;2.29;4
Smoking;2715;3.28;1.95;4.35;2.27;13
Pipe;2716;3.54;1.79;4.97;2.24;16
DrugAddict;2717;2.58;1.32;5.7;2.16;16
DrugAddict;2718;3.65;1.58;4.46;2.03;15
Urinating;2720;5.43;1.59;3.43;1.91;4
Jail;2722;3.47;1.65;3.52;2.05;9
NativeBoy;2730;2.45;2.25;6.8;2.21;4
Shopping;2745.1;5.31;1.08;3.26;1.96;14
Shoplifter;2745.2;3.91;2;5.17;2.14;13
Smoking;2749;5.04;1.39;3.76;2.03;12
Bum;2750;2.56;1.32;4.31;1.81;6
DrunkDriving;2751;2.67;1.87;5.18;2.39;9
Alcoholic;2752;4.07;1.84;4.3;1.94;10
Alcoholic;2753;3.17;1.75;4.29;2.22;10
Mask;2770;4.37;1.69;5.11;2.05;15
Actor;2780;4.77;1.76;4.86;2.05;13
Balloons;2791;6.64;1.7;3.83;2.09;8
Boy;2795;3.92;1.77;4.7;2;14
Funeral;2799;2.42;1.41;5.02;1.99;15
SadChild;2800;1.78;1.14;5.49;2.11;4
Boy;2810;4.31;1.65;4.47;1.92;4
Gun;2811;2.17;1.38;6.9;2.22;15
Woman;2830;4.73;1.6;3.64;2.23;9
Chess;2840;4.91;1.52;2.43;1.82;6
Tourist;2850;5.22;1.39;3;1.94;10
Teenager;2870;5.31;1.41;3.01;1.72;9
Shadow;2880;5.18;1.44;2.96;1.94;9
Twins;2890;4.95;1.09;2.95;1.87;9
CryingBoy;2900;2.45;1.42;5.09;2.15;5
CryingBoy;2900.1;2.56;1.41;4.61;2.07;11
SmilingGirl;2900.2;6.62;1.97;4.52;1.92;12
FoodBasket;2980;5.61;1.5;3.09;1.91;13
DeerHead;2981;2.76;1.94;5.97;2.12;14
Mutilation;3000;1.45;1.2;7.26;2.1;1
Mutilation;3000;1.59;1.35;7.34;2.27;4
HeadlessBody;3001;1.62;1.14;6.64;2.54;18
OpenGrave;3005.1;1.63;1.19;6.2;2.54;14
Gold;3005.2;5.98;1.9;4.84;2.18;13
Mutilation;3010;1.71;1.19;7.16;2.24;2
Mutilation;3010;1.79;1.28;7.26;1.86;3
Accident;3015;1.52;0.95;5.9;2.82;11
Mutilation;3016;1.9;1.31;5.82;2.44;16
Mutilation;3017;2.45;1.35;5.34;2.39;15
Organs;3019;2.99;1.74;6.3;2.14;19
Scream;3022;3.7;1.91;5.88;2.08;12
Mutilation;3030;1.91;1.56;6.76;2.1;1
Mutilation;3051;2.3;1.86;5.62;2.45;8
BurnVictim;3053;1.31;0.97;6.91;2.57;7
Mutilation;3059;1.81;1.24;6.48;2.32;20
Mutilation;3060;1.79;1.56;7.12;2.09;5
Mutilation;3061;2.32;1.61;5.28;2.6;9
Mutilation;3062;1.87;1.31;5.78;2.57;9
Mutilation;3063;1.49;0.96;6.35;2.6;10
Mutilation;3064;1.45;0.97;6.41;2.62;10
Mutilation;3068;1.8;1.56;6.77;2.49;13
Mutilation;3069;1.7;1.41;7.03;2.41;13
Mutilation;3071;1.88;1.39;6.86;2.05;6
Mutilation;3080;1.48;0.95;7.22;1.97;6
BurnVictim;3100;1.6;1.07;6.49;2.23;2
BurntFace;3101;1.91;1.19;5.6;2.46;14
BurnVictim;3102;1.4;1.14;6.58;2.69;7
Injury;3103;2.07;1.27;6.06;2.3;18
BurnVictim;3110;1.79;1.3;6.7;2.16;6
DeadBody;3120;1.56;1.09;6.84;2.36;1
Mutilation;3130;1.58;1.24;6.97;2.07;1
Mutilation;3131;1.51;0.97;6.61;2.34;17
DeadBody;3140;1.83;1.17;6.36;1.97;2
Mutilation;3150;2.26;1.57;6.55;2.2;2
EyeDisease;3160;2.63;1.23;5.35;1.79;3
Mutilation;3168;1.56;1.06;6;2.46;11
BabyTumor;3170;1.46;1.01;7.21;1.99;3
BatteredFem;3180;1.92;1.13;5.77;2.21;4
BatteredFem;3181;2.3;1.43;5.06;2.11;11
Stitches;3185;2.81;1.52;5.48;2.18;18
Scar;3190;3.69;1.67;5.01;1.95;4
BatteredFem;3191;1.95;1.22;5.95;2.17;15
Stitches;3195;2.06;1.23;6.36;2.25;20
Surgery;3210;4.49;1.91;5.39;1.91;2
Surgery;3211;4.15;1.91;5.72;1.94;17
Surgery;3212;2.79;1.67;6.57;1.99;19
Surgery;3213;2.96;1.94;6.82;2;20
BurnVictim;3215;2.51;1.32;5.44;2.16;16
MedicalAssist;3216;3.28;1.64;5.37;2;15
Hospital;3220;2.49;1.29;5.52;1.86;3
Mutilation;3225;1.82;1.22;5.95;2.46;15
DyingMan;3230;2.02;1.3;5.41;2.21;3
OpenChest;3250;3.78;1.72;6.29;1.63;3
Tumor;3261;1.82;1.34;5.75;2.64;9
Injury;3266;1.56;0.98;6.79;2.09;12
DentalExam;3280;3.72;1.89;5.39;2.38;5
DisabledChild;3300;2.74;1.56;4.55;2.06;6
InjuredChild;3301;1.8;1.28;5.21;2.26;11
SickBaby;3302;4.5;2.48;5.7;2.27;16
Incubator;3310;4.37;2.54;5.43;2;19
Infant;3350;1.88;1.67;5.72;2.23;5
Fetus;3360;3.78;2.09;5.39;2.12;17
SeveredHand;3400;2.35;1.9;6.91;2.22;5
Attack;3500;2.21;1.34;6.99;2.19;5
Attack;3530;1.8;1.32;6.82;2.09;6
Injury;3550;2.54;1.6;5.92;2.13;6
PlaneCrash;3550.1;2.35;1.39;6.29;1.96;12
Coach;3550.2;4.92;1.62;5.13;2.24;11
Artist;4000;4.82;1.66;3.97;2.15;10
EroticFemale;4001;5.24;2.45;5.24;2.49;7
EroticFemale;4002;5.78;2.43;5.32;2.69;7
EroticFemale;4003;5.48;2.05;5.09;2.07;8
EroticFemale;4004;5.14;1.85;4.44;2.14;7
EroticFemale;4005;5.43;2.08;5.02;2;8
EroticFemale;4006;6.05;1.7;5.27;2.27;15
AttractiveFem;4007;6.26;1.78;5.63;2.26;17
EroticFemale;4008;5.91;2.24;5.66;2.32;19
AttractiveFem;4071;5.97;1.82;5.14;2.39;20
EroticFemale;4085;5.71;2.37;5.77;2.52;18
Bikini;4090;6.17;1.79;5.39;2.31;17
MaleDancers;4100;6.11;1.66;4.39;1.75;3
EroticFemales;4130;5.36;2.17;5.15;2.29;18
EroticFemale;4141;5.59;2.46;5.25;2.48;14
EroticFemale;4142;5.45;2.82;5.6;2.61;13
AttractiveFem;4150;6.53;1.86;4.86;2.55;5
EroticFemale;4180;6.21;2.57;5.54;2.89;1
EroticFemale;4210;5.72;2.97;6.08;2.81;1
EroticFemale;4220;8.02;1.93;7.17;2.69;2
EroticFemale;4220;6.6;1.72;5.18;2.33;3
EroticFemale;4225;6.09;1.82;5.39;2.38;15
Prostitute;4230;4.86;2.34;4.7;2.21;4
EroticFemale;4232;5.95;2.53;6.28;2.31;8
Prostitute;4233;4.56;1.86;3.96;2.15;9
EroticFemale;4235;5.39;2.5;5.29;2.75;10
EroticFemale;4240;5.34;2.44;4.88;2.75;9
