Description;IAPS;ValenceMean;ValenceSD;ArousalMean;ArousalSD;set
DeadCows;9181;2.26;1.85;5.39;2.41;8
Horses;9182;3.52;2.04;4.98;2.07;7
HurtDog;9183;1.69;1.1;6.58;2.12;17
InjuredDog;9184;2.47;1.52;5.75;2.43;18
DeadDog;9185;1.97;1.16;5.65;2.35;19
Vultures;9186;3.43;1.54;4.88;1.87;17
InjuredDog;9187;1.81;1.36;6.45;2.3;20
Woman;9190;3.9;1.44;3.91;1.73;2
Rain;9210;4.53;1.82;3.08;2.13;5
Cemetery;9220;2.06;1.54;4;2.09;6
OilFire;9230;3.89;1.58;5.77;2.36;5
WarVictim;9250;2.57;1.39;6.6;1.87;3
DeadBody;9252;1.98;1.59;6.64;2.33;7
Mutilation;9253;2;1.19;5.53;2.4;9
Assault;9254;2.03;1.35;6.04;2.35;15
Hands;9260;4.63;1.76;3.45;1.98;19
HungMan;9265;2.6;1.52;4.34;2.09;9
ToxicWaste;9270;3.72;1.51;5.24;2.15;3
Smoke;9280;2.8;1.54;4.26;2.44;9
Garbage;9290;2.88;1.52;4.4;2.11;4
Garbage;9291;2.93;1.19;4.38;2.05;18
Garbage;9295;2.39;1.3;5.11;2.05;17
Dirty;9300;2.26;1.76;6;2.41;4
Toilet;9301;2.26;1.56;5.28;2.46;14
Toilet;9302;2.32;1.41;5.58;2.43;18
Vomit;9320;2.65;1.92;4.93;2.7;5
Vomit;9321;2.81;2.14;6.24;2.23;19
Vomit;9322;2.24;1.24;5.73;2.28;20
Vomit;9325;1.89;1.23;6.01;2.54;17
Vomit;9326;2.21;1.3;5.89;2.35;18
Garbage;9330;2.89;1.74;4.35;2.07;5
HomelessMan;9331;2.87;1.28;3.85;2;10
CryingWoman;9332;2.25;1.33;5.34;2;20
Garbage;9340;2.41;1.48;5.16;2.35;6
Pollution;9341;3.38;1.89;4.5;2.1;13
Pollution;9342;2.85;1.41;4.49;1.88;14
EmptyPool;9360;4.03;1.38;2.63;1.75;10
Garbage;9373;3.38;1.48;5.01;2.16;7
Dishes;9390;3.67;1.58;4.14;2.52;5
Dishes;9395;3.21;1.32;4.22;2.04;17
Soldier;9400;2.5;1.61;5.99;2.15;4
Knives;9401;4.53;1.31;3.88;1.98;8
Mob;9402;4.48;2.12;5.07;2.15;8
Soldiers;9403;3.51;1.69;5.62;1.87;17
Soldiers;9404;3.71;1.67;4.67;2.26;8
SlicedHand;9405;1.83;1.17;6.08;2.4;10
MenW/guns;9409;3.34;1.76;5.61;2.15;14
Soldier;9410;1.51;1.15;7.07;2.06;4
Boy;9411;4.63;1.58;5.37;1.97;7
DeadMan;9412;1.83;1.37;6.72;2.07;19
Hanging;9413;1.76;1.08;6.81;2.09;19
Execution;9414;2.06;1.48;6.49;2.26;17
Handicapped;9415;2.82;2;4.91;2.35;8
Ticket;9417;3.16;1.48;4.83;2.24;10
Assault;9419;2.55;1.33;5.19;2.08;16
Soldier;9420;2.31;1.59;5.69;2.28;4
Soldier;9421;2.21;1.45;5.04;2.15;6
Battleship;9422;4.95;1.72;5.09;1.92;20
Assault;9423;2.61;1.51;5.66;2.15;16
Bomb;9424;2.87;1.62;5.78;2.12;16
Assault;9425;2.67;1.44;5.92;2.13;15
Assault;9426;3.08;1.51;5.28;2.02;15
Assault;9427;2.89;1.47;5.5;2.09;15
Assault;9428;2.31;1.31;5.66;2.41;15
Assault;9429;2.68;1.26;5.63;2.04;16
Burial;9430;2.63;1.59;5.26;2.55;4
Mastectomy;9432;2.56;1.66;4.92;2.28;7
DeadMan;9433;1.84;1.19;5.89;2.6;10
Accident;9435;2.27;1.47;5;2.03;13
Skulls;9440;3.67;1.86;4.55;2.02;4
Skeleton;9445;3.87;1.57;4.49;2.01;20
Gun;9452;3.19;1.98;5.14;2.3;7
Grafitti;9468;4.67;1.8;4.68;1.89;19
Building;9469;4;1.5;4.08;1.85;18
Ruins;9470;3.05;1.51;5.05;1.98;7
BurntBldg;9471;3.16;1.35;4.48;2.02;14
Bridge;9472;4.07;1.34;4.16;2;14
Skull;9480;3.51;2.08;5.57;1.87;12
Corpse;9490;3.6;1.72;5.57;2.13;5
DeadBody;9491;2.78;1.71;5.69;2.22;20
Fire;9495;3.34;1.75;5.57;2;14
Porpoises;9500;2.42;1.73;5.82;2.29;4
Kids;9520;2.46;1.61;5.41;2.27;6
Boys;9530;2.93;1.84;5.2;2.26;5
DuckInOil;9560;2.12;1.93;5.5;2.52;5
SickKitty;9561;2.68;1.92;4.79;2.29;10
Dog;9570;1.68;1.23;6.14;2.31;6
Cat;9571;1.96;1.5;5.64;2.5;7
DentalExam;9582;4.18;2.28;5.29;2.21;12
DentalExam;9584;3.34;1.57;4.96;2.15;11
Injecting;9590;3.08;1.63;5.41;2.23;17
Injection;9592;3.34;1.75;5.23;2.09;12
Injection;9594;3.76;1.7;5.17;2.17;11
Injection;9596;3.65;1.68;5.13;2.32;18
Injection;9599;3.16;1.51;5.43;2.04;20
Ship;9600;2.48;1.62;6.46;2.31;5
Accident;9610;2.89;1.43;5.23;2.14;18
PlaneCrash;9611;2.71;1.95;5.75;2.44;8
Shipwreck;9620;2.7;1.64;6.11;2.1;8
Ship;9621;3.22;1.76;5.76;2.05;7
Jet;9622;3.1;1.9;6.26;1.98;7
Fire;9623;3.04;1.51;6.05;1.88;17
Bomb;9630;2.96;1.72;6.06;2.22;6
ManOnFire;9635.1;1.9;1.31;6.54;2.27;14
Fire;9635.2;4.38;1.65;4.62;2.23;13
Trash;9700;4.77;1.24;3.21;1.92;9
Skinhead;9800;2.04;1.57;6.05;2.71;5
KKKrally;9810;2.09;1.78;6.62;2.26;6
Cigarettes;9830;2.54;1.75;4.86;2.63;6
Cigarette;9831;2.95;1.72;4.61;2.34;18
Cigarettes;9832;2.94;1.58;4.46;2.06;19
CarAccident;9900;2.46;1.39;5.58;2.13;15
CarAccident;9901;2.27;1.25;5.7;2.22;15
CarAccident;9902;2.33;1.38;6;2.15;16
CarAccident;9903;2.36;1.35;5.71;2.28;16
CarAccident;9904;2.39;1.36;6.08;2.06;19
CarAccident;9905;2.55;1.42;5.93;2.1;20
CarAccident;9908;2.34;1.49;6.63;2.13;20
BurningCar;9909;2.78;1.45;5.98;2.04;18
CarAccident;9910;2.06;1.26;6.2;2.16;5
CarAccident;9911;2.3;1.37;5.76;2.1;7
Firefighter;9912;3.46;1.76;4.68;2.31;8
Truck;9913;4.38;1.89;4.42;2.14;13
CarAccident;9920;2.5;1.52;5.76;1.96;6
Fire;9921;2.04;1.47;6.52;1.94;7
Fire;9922;2.78;1.32;5.21;2.03;20
Fire;9925;2.84;1.35;5.59;2.23;16
Flood;9926;3.85;1.59;4.83;1.95;16
Flood;9927;2.71;1.56;5.29;1.91;20
ShipWave;9930;3.12;1.53;5.71;1.88;17
Explosion;9940;1.62;1.2;7.15;2.24;20
Fire;9941;2.91;1.54;5.83;2.14;18
